avg_wait,prob_wait,prob_idle_system,avg_service,avg_interarrival,avg_wait_waiters,avg_system_time
0.03791753752024335,0.055714285714285716,0.5584956244756542,2.043633555802553,4.010238986463273,0.6805711862607781,2.0815510933227968
0.03235729627620888,0.06285714285714286,0.5182686788644344,2.1656074585134424,3.8761388672851393,0.5147751680305959,2.1979647547896515
0.07655972699137556,0.09142857142857143,0.5491142886869439,2.1643369764809792,4.020820281531233,0.8373720139681702,2.240896703472355
0.06878913799552837,0.07857142857142857,0.5496907498926239,2.0510379626552293,3.925057965544741,0.8754981199430883,2.1198271006507574
0.09070167966702562,0.09857142857142857,0.5629444583653621,2.146402181357002,4.110537319164364,0.9201619676364918,2.2371038610240275
0.07851187259231072,0.07857142857142857,0.5471939472196995,2.1877939074855015,4.092969374003632,0.9992420148112273,2.266305780077812
0.04571314350421561,0.05142857142857143,0.5698924427373648,2.1758525143164813,4.382484586892548,0.8888666792486369,2.221565657820697
0.0833462818257942,0.06857142857142857,0.5508038131099287,2.096888986711056,3.970637570111702,1.2154666099594988,2.18023526853685
0.04662293888453814,0.06428571428571428,0.5365281406434831,2.228407971396723,4.107613864127736,0.7252457159817044,2.2750309102812616
0.08208742544413218,0.09,0.5658631476461747,2.093064778399679,4.075822175257004,0.912082504934802,2.1751522038438114
0.04132457554720434,0.06857142857142857,0.5599447016634871,2.003780562751108,3.9031466684813965,0.6026500600633966,2.045105138298312
0.09732064849679864,0.08857142857142856,0.5471817198043082,2.105880450638003,3.949435503991764,1.0987815152864362,2.203201099134801
0.0744261416116216,0.08428571428571428,0.5228116563306564,2.110800716150747,3.7265465579771138,0.8830220191209341,2.185226857762369
0.06505269714414559,0.07142857142857142,0.5541374002364349,2.0876597595827096,3.937104772775575,0.9107377600180382,2.152712456726855
0.10362422676181884,0.08571428571428572,0.539915387451875,2.1851098149683073,4.052061293666504,1.2089493122212198,2.288734041730126
0.06310195191387565,0.06142857142857143,0.5445195901231437,2.2102393288287043,4.217071594064632,1.0272410776677432,2.27334128074258
0.07298700233199754,0.08285714285714285,0.5728063576552671,2.033214583694329,4.069156380103433,0.8808776143516943,2.106201586026326
0.06632357467868907,0.07714285714285714,0.5729613059290942,2.056685726303176,4.06999085573729,0.8597500421311547,2.1230093009818654
0.06586376873389052,0.08428571428571428,0.5510965839871753,2.1847889990579135,4.061375805743186,0.7814345443003959,2.2506527677918036
0.033428179504517964,0.06285714285714286,0.573814215133368,2.0004051090001065,4.073327766408952,0.5318119466627859,2.033833288504624
